order,group,sample_index,track_id,mp3_path,true_label,pred_label,confidence,true_confidence,focus,listening_question,human_judgement,notes
11,B. Pop -> Rock,4564,104068,data/fma_small/104/104068.mp3,Pop,Rock,0.7361,0.1893,听吉他、鼓组或 Rock 式能量是否让模型倾向 Rock。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
12,B. Pop -> Rock,5895,121592,data/fma_small/121/121592.mp3,Pop,Rock,0.7105,0.1394,听吉他、鼓组或 Rock 式能量是否让模型倾向 Rock。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
13,B. Pop -> International,2788,64365,data/fma_small/064/064365.mp3,Pop,International,0.7283,0.0991,听语言、地域性乐器或制作 cue 是否把 Pop 拉向 International。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
14,B. Pop -> International,2235,54234,data/fma_small/054/054234.mp3,Pop,International,0.6544,0.1139,听语言、地域性乐器或制作 cue 是否把 Pop 拉向 International。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
15,B. Pop -> Folk,6089,123509,data/fma_small/123/123509.mp3,Pop,Folk,0.7533,0.0208,听 acoustic 乐器或 singer-songwriter 质感是否让 Pop 接近 Folk。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
16,B. Pop -> Folk,1271,32332,data/fma_small/032/032332.mp3,Pop,Folk,0.7310,0.0685,听 acoustic 乐器或 singer-songwriter 质感是否让 Pop 接近 Folk。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
17,B. Pop -> Instrumental,3700,83511,data/fma_small/083/083511.mp3,Pop,Instrumental,0.5468,0.0826,听人声是否缺失、稀疏或混得很低，导致 Pop 难以识别。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
18,B. Pop -> Experimental,2532,59454,data/fma_small/059/059454.mp3,Pop,Experimental,0.5162,0.0767,听结构、音色或制作方式是否不常规，让 Pop 听起来更像 Experimental。,这首是否真的更接近预测类别？Pop 标签是否过宽？,,
19,C. Experimental -> Instrumental,7344,139681,data/fma_small/139/139681.mp3,Experimental,Instrumental,0.7848,0.1006,听无人声或环境化 texture 是否让 Experimental 被压缩成 Instrumental。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
20,C. Experimental -> Instrumental,3678,82890,data/fma_small/082/082890.mp3,Experimental,Instrumental,0.7701,0.0552,听无人声或环境化 texture 是否让 Experimental 被压缩成 Instrumental。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
21,C. Experimental -> Instrumental,5575,116709,data/fma_small/116/116709.mp3,Experimental,Instrumental,0.6599,0.2216,听无人声或环境化 texture 是否让 Experimental 被压缩成 Instrumental。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
22,C. Experimental -> Pop,5678,118489,data/fma_small/118/118489.mp3,Experimental,Pop,0.3915,0.0361,听旋律、hook 或人声结构是否让 Experimental 更接近 Pop。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
23,C. Experimental -> Pop,2359,56015,data/fma_small/056/056015.mp3,Experimental,Pop,0.3913,0.0281,听旋律、hook 或人声结构是否让 Experimental 更接近 Pop。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
24,C. Experimental -> Folk,5686,118505,data/fma_small/118/118505.mp3,Experimental,Folk,0.5097,0.1362,听 acoustic 音色或稀疏编曲是否遮蔽了 Experimental 标签。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
25,C. Experimental -> Rock,1785,44791,data/fma_small/044/044791.mp3,Experimental,Rock,0.7058,0.0331,听吉他驱动的能量或乐队质感是否把 Experimental 拉向 Rock。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
26,C. Experimental -> Electronic,344,7377,data/fma_small/007/007377.mp3,Experimental,Electronic,0.6713,0.0941,听合成音色、loop 或电子制作是否盖过了 Experimental cue。,哪个 cue 更强：Experimental 标签，还是模型预测的常规 genre？,,
27,D. Hip-Hop -> Electronic,3135,70773,data/fma_small/070/070773.mp3,Hip-Hop,Electronic,0.7872,0.0757,听电子制作是否压过 rap/beat cue，把 Hip-Hop 拉向 Electronic。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
28,D. Hip-Hop -> Electronic,7551,142668,data/fma_small/142/142668.mp3,Hip-Hop,Electronic,0.7683,0.1417,听电子制作是否压过 rap/beat cue，把 Hip-Hop 拉向 Electronic。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
29,D. Rock -> Pop,3123,70409,data/fma_small/070/070409.mp3,Rock,Pop,0.5094,0.3013,听 chorus、旋律或精致制作是否让 Rock 听起来像 Pop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
30,D. Rock -> Pop,1150,28266,data/fma_small/028/028266.mp3,Rock,Pop,0.4688,0.2373,听 chorus、旋律或精致制作是否让 Rock 听起来像 Pop。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
31,D. Rock -> Folk,1605,40903,data/fma_small/040/040903.mp3,Rock,Folk,0.5129,0.0741,听 acoustic 乐器或更柔和的表演是否模糊 Rock 和 Folk。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
32,D. Rock -> Folk,6000,122620,data/fma_small/122/122620.mp3,Rock,Folk,0.4280,0.0666,听 acoustic 乐器或更柔和的表演是否模糊 Rock 和 Folk。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
33,D. Instrumental -> Folk,5203,112976,data/fma_small/112/112976.mp3,Instrumental,Folk,0.5892,0.2155,听 acoustic/传统乐器是否让 Instrumental 听起来像 Folk。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
34,D. Instrumental -> Folk,4898,108883,data/fma_small/108/108883.mp3,Instrumental,Folk,0.4983,0.1780,听 acoustic/传统乐器是否让 Instrumental 听起来像 Folk。,这组混淆是否符合音乐直觉？两个标签哪个更合理？,,
35,E. High-confidence correct controls,4928,109448,data/fma_small/109/109448.mp3,Folk,Folk,0.9601,0.9601,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
36,E. High-confidence correct controls,2509,58212,data/fma_small/058/058212.mp3,Hip-Hop,Hip-Hop,0.9854,0.9854,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
37,E. High-confidence correct controls,2577,59724,data/fma_small/059/059724.mp3,International,International,0.9739,0.9739,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
38,E. High-confidence correct controls,154,3763,data/fma_small/003/003763.mp3,Rock,Rock,0.9640,0.9640,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
39,E. High-confidence correct controls,6233,125293,data/fma_small/125/125293.mp3,Electronic,Electronic,0.9670,0.9670,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
40,E. High-confidence correct controls,6274,125819,data/fma_small/125/125819.mp3,Instrumental,Instrumental,0.9564,0.9564,作为对照，听模型在该 genre 上学到的清晰 cue。,这首的 genre cue 是否非常明确？和错分样本有什么区别？,,
